Epoch: 1
Loss: 1.2143956422805786, Accuracy: 14.428333333333333%
Loss: 1.018507480621338, Accuracy: 14.495%
Loss: 0.6524354815483093, Accuracy: 14.583333333333334%
Loss: 0.8333113193511963, Accuracy: 14.66%
Loss: 0.8753737211227417, Accuracy: 14.74%
Loss: 1.0739750862121582, Accuracy: 14.813333333333333%
Loss: 1.2239525318145752, Accuracy: 14.871666666666666%
Loss: 1.0505692958831787, Accuracy: 14.943333333333333%
Loss: 1.009669303894043, Accuracy: 15.021666666666667%
Loss: 0.7664966583251953, Accuracy: 15.098333333333333%
Loss: 0.5886194705963135, Accuracy: 15.19%
Loss: 0.6583114266395569, Accuracy: 15.273333333333333%
Loss: 0.47891297936439514, Accuracy: 15.37%
Loss: 0.9914197325706482, Accuracy: 15.445%
Loss: 0.681073009967804, Accuracy: 15.535%
Loss: 0.6757651567459106, Accuracy: 15.62%
Loss: 0.5781645178794861, Accuracy: 15.713333333333333%
Loss: 0.680670976638794, Accuracy: 15.801666666666666%
Loss: 0.6879254579544067, Accuracy: 15.891666666666667%
Loss: 0.616398811340332, Accuracy: 15.98%
Loss: 0.7100191712379456, Accuracy: 16.06%
Loss: 0.5739229917526245, Accuracy: 16.14666666666667%
Loss: 0.9746959805488586, Accuracy: 16.215%
Loss: 1.1242029666900635, Accuracy: 16.276666666666667%
Loss: 0.88871169090271, Accuracy: 16.356666666666666%
Loss: 0.703214704990387, Accuracy: 16.436666666666667%
Loss: 0.9976614713668823, Accuracy: 16.515%
Loss: 1.1245872974395752, Accuracy: 16.585%
Loss: 0.7976393699645996, Accuracy: 16.665%
Loss: 0.6425713300704956, Accuracy: 16.748333333333335%
Loss: 0.7236311435699463, Accuracy: 16.83%
Loss: 0.6636958718299866, Accuracy: 16.915%
Loss: 0.7531929612159729, Accuracy: 17.005%
Loss: 0.6654089093208313, Accuracy: 17.091666666666665%
Loss: 0.6352249979972839, Accuracy: 17.176666666666666%
Loss: 0.685900092124939, Accuracy: 17.258333333333333%
Loss: 0.6639147996902466, Accuracy: 17.341666666666665%
Loss: 0.7668752074241638, Accuracy: 17.423333333333332%
Loss: 0.7990195751190186, Accuracy: 17.508333333333333%
Loss: 0.9359078407287598, Accuracy: 17.585%
Loss: 0.7738418579101562, Accuracy: 17.665%
Loss: 0.7532433271408081, Accuracy: 17.743333333333332%
Loss: 0.9819367527961731, Accuracy: 17.823333333333334%
Loss: 0.8105378746986389, Accuracy: 17.89666666666667%
Loss: 0.7346956729888916, Accuracy: 17.98%
Loss: 0.7305599451065063, Accuracy: 18.065%
Loss: 0.766135573387146, Accuracy: 18.15%
Loss: 0.48734134435653687, Accuracy: 18.24%
Loss: 0.5916725993156433, Accuracy: 18.331666666666667%
Loss: 0.5716320872306824, Accuracy: 18.423333333333332%
Loss: 0.8684504628181458, Accuracy: 18.506666666666668%
Loss: 1.031709909439087, Accuracy: 18.583333333333332%
Loss: 0.6875805258750916, Accuracy: 18.665%
Loss: 0.7886750102043152, Accuracy: 18.745%
Loss: 0.8294501900672913, Accuracy: 18.828333333333333%
Loss: 0.7372370362281799, Accuracy: 18.915%
Loss: 0.7958130240440369, Accuracy: 18.99%
Loss: 0.584067702293396, Accuracy: 19.081666666666667%
Loss: 0.6615555882453918, Accuracy: 19.168333333333333%
Loss: 0.6487637162208557, Accuracy: 19.256666666666668%
Loss: 0.4984312951564789, Accuracy: 19.348333333333333%
Loss: 0.41015079617500305, Accuracy: 19.45%
Loss: 0.567891001701355, Accuracy: 19.536666666666665%
Loss: 0.6095451712608337, Accuracy: 19.625%
Loss: 0.8398326635360718, Accuracy: 19.695%
Loss: 0.6381659507751465, Accuracy: 19.781666666666666%
Loss: 0.5582446455955505, Accuracy: 19.871666666666666%
Loss: 0.6433477401733398, Accuracy: 19.963333333333335%
Loss: 0.6023909449577332, Accuracy: 20.048333333333332%
Loss: 0.643744707107544, Accuracy: 20.136666666666667%
Loss: 0.612555980682373, Accuracy: 20.221666666666668%
Loss: 0.6548700928688049, Accuracy: 20.31%
Loss: 0.4768397808074951, Accuracy: 20.406666666666666%
Loss: 0.6280392408370972, Accuracy: 20.491666666666667%
Loss: 0.6621042490005493, Accuracy: 20.583333333333332%
Loss: 0.7657675743103027, Accuracy: 20.67%
Loss: 0.6983417868614197, Accuracy: 20.755%
Loss: 0.6213520169258118, Accuracy: 20.841666666666665%
Loss: 0.6165418028831482, Accuracy: 20.933333333333334%
Loss: 0.6545317769050598, Accuracy: 21.02%
